Frame,Time,Type/Subtype,Transmitter,Receiver,Important Fields,Interpretation
1,0,Probe Request,fe:f7:ae:58:03:ea,c8:3a:35:c2:e0:a2,SSID=Team_6,The client searches for the previously saved network profile.
2,0.000011695,Probe Response,c8:3a:35:c2:e0:a2,fe:f7:ae:58:03:ea,"SSID=Team_6
PMF Required=True
AKM=PSK
Pairwise Cipher=CCMP",The AP advertises a modified security configuration requiring Protected Management Frames (PMF).
4,0.000015401,Authentication,fe:f7:ae:58:03:ea,c8:3a:35:c2:e0:a2,Authentication Algorithm=Open System,The client initiates IEEE 802.11 authentication.
5,0.012068591,Authentication,c8:3a:35:c2:e0:a2,fe:f7:ae:58:03:ea,Status Code=0 (Success),The AP accepts the client's authentication request.
6,0.012071749,Association Request,fe:f7:ae:58:03:ea,c8:3a:35:c2:e0:a2,"PMF Capable=True
SSID=Team_6",The client proceeds with association and indicates support for the PMF requirement.
7,0.034623351,Association Response,c8:3a:35:c2:e0:a2,fe:f7:ae:58:03:ea,Status Code=0 (Success),The AP accepts the association request under the PMF-required configuration.
8,0.07744594,EAPOL M1,c8:3a:35:c2:e0:a2,fe:f7:ae:58:03:ea,"Message 1 of 4
Anonce",The AP initiates the WPA2 4-Way Handshake.
9,0.082419513,EAPOL M2,fe:f7:ae:58:03:ea,c8:3a:35:c2:e0:a2,"Message 2 of 4
SNonce
MIC",The client participates in key derivation and proves possession of the PMK.
10,0.085401067,EAPOL M3,c8:3a:35:c2:e0:a2,fe:f7:ae:58:03:ea,"Message 3 of 4
GTK Distribution
MIC",The AP distributes group key material and installs session keys.
11,0.089284561,EAPOL M4,fe:f7:ae:58:03:ea,c8:3a:35:c2:e0:a2,"Message 4 of 4
MIC",The client confirms key installation and completes the 4-Way Handshake.
